id,question,answer,query_type,expected_decision,source_doc_id,source_title,source_year
r01,Who founded the Paul Bernays Lectures series in 2012?,Giovanni Sommaruga,entity_temporal,answer,8d43394b9c5e144c0144336d6385d5846cdb44ff,paul bernays lectures 2022 on artificial intelligence and mathematics,2022
r02,Who was appointed tenure track assistant professor of glaciology at ETH Zurich?,Daniel Farinotti,entity,answer,ce7c6f1b3ea4ae23ec8a26d9923f384a62eff652,eight professors appointed at eth zurich,2016
r03,Who has been a full professor of crop science at ETH Zurich since 2010?,Achim Walter,entity_temporal,answer,dd42bd8d7b57ffb5d745012ed6a67127e8958c50,focus what ends up on our shelves,2013
r04,Who is the vice president for knowledge transfer and corporate relations at ETH Zurich?,Vanessa Wood,entity,answer,51e0aa2adcc9d40be48979f3ea21b2f03a18e8b4,spark award fuer neues biochemisches verfahren,2022
r05,Who is the ETH peace researcher who co-developed a conflict mediation approach?,Simon Mason,entity,answer,1334863f18ffe50f0f0f7de23543f5430850af9e,conflict mediation podcast,2019
r06,What position was Rosa Barba appointed to at ETH Zurich?,Full professor of art in space and time (department of architecture).,semantic,answer,66ceceb62d3711c8e7e2454c70959433ad31bf18,ten professors appointed,2023
r07,Who became president of the ETH lecturers' conference?,Edoardo Mazza,entity,answer,7dbea25051647a6a29ea919047b488fb43be6bd3,the lecturers conference has a new president,2016
r08,Which department is Mirko Meboldt a professor in at ETH Zurich?,Mechanical and process engineering.,keyword,answer,0ae492794515e052120b41780121dae9321e0a1a,recovering hidden treasures and building boats,2016
r09,Who is the ETH professor whose group developed a new chip for testing toxicity on the placenta and embryo?,Andreas Hierlemann,entity,answer,85a2ef3ed2e1cb74809c700118c15e3cf61e6521,toxicity testing on the placenta and embryo,2021
r10,Who is the project leader of the PeakBoil project in Mirko Meboldt's group?,Julian Ferchow,entity,answer,46f6ed50b7530fc371d6692ea5d3b84773a496f7,peakboil,2018
